Name;Coordinates
Al-Khawarizmi Institute of Computer Science;31.57807108217065, 74.35786330238952
Environmental engineering department uet Lahore;31.577497148974047, 74.3569819290696
Research Centre;31.577201274011752, 74.35702738186762
Students Parking;31.578004715752957, 74.35701556261752
CS Lecture Theatres;31.578528125883047, 74.35701030091131
Department of Computer Science-UET Lahore;31.578574544681672, 74.35741383558134
Department Of Mathematics;31.578532371812532, 74.35789338487183
National Library of Engineering Sciences;31.578624808254872, 74.35618216789373
Department of Electrical Engineering;31.577305025677024, 74.35622873477634
IET On Campus UET Lahore;31.577242752100556, 74.3560510501543
PSSR Lab, UET;31.577068162469686, 74.35594944729972
Solar Park;31.576979303956406, 74.35476076736806
Admininstration Block, UET;31.577051283763375, 74.35486805571905
VC Office, UET;31.577145010740505, 74.35541699845326
UET Science Society;31.57751543794044, 74.35468262774447
Laser and Optonics Center(LOC);31.577583989744554, 74.35481003266126
Department of Product & Industrial Design;31.577609662354618, 74.355105629242
Islamic Studies Department;31.577977038869825, 74.35523556533089
University Mosque;31.578409770863242, 74.35472710331986
Jamia Masjid UET;31.578561174388906, 74.35460207343438
HBL Bank ATM;31.57877707990301, 74.35613738881368
School of Architecture and Design UET Lahore;31.57911850070515, 74.35592454337933
City & Regional Planning Department UET Lahore;31.579183305429375, 74.3555046451654
UET Lhr Bus Stand;31.579145178425833, 74.35415242077053
Transport Office;31.5791763294434, 74.35456337360775
UET Football Ground;31.580040413433995, 74.35450745466368
Junaid Jamshed Cricket Stadium;31.582080772559223, 74.35529119269741
UET Sports Auditorium;31.581220911715093, 74.35315421497486
Data Center;31.58151450630629, 74.35309155386318
Sports Cafeteria UET Lahore;31.580671362180244, 74.35409150679136
University Gym;31.581313669522835, 74.35368938887083
UET Swimming Pool;31.581237197909378, 74.35406254101632
Sports Complex, UET Lahore;31.581430969085318, 74.3537257440146
Tennis Court;31.581606565902717, 74.35370762316009
UET Basketball Court;31.581672068760913, 74.35418629607034
Department of Humanities, Social Sciences and Languages;31.580528517287217, 74.35551423155347
Seminar Hall - Chemical Engineering Department;31.580275891346165, 74.35609679983634
Chemical Engineering Department;31.580653721552498, 74.35625610249917
Seminar Hall - Chemical Engineering Department;31.58027458120419, 74.35610775259359
Department of Metallurgical and Materials Engineering, UET Lahore;31.57995862973149, 74.35580281113258
UET Gate number 3;31.576862126774163, 74.35672486821832
Habib Bank Limited (HBL);31.57660740739352, 74.35481400642674
UBL - UET Branch;31.576777558824244, 74.35531039328008
IBM UET;31.57827293259108, 74.35370150949024
IQBAL Hall-UET Lahore;31.58220597892841, 74.3520640209083
Sir Syed Hall;31.582083734238005, 74.35091737657743
Iqbal Hall Canteen;31.581564420524895, 74.35166829444029
Iqbal Hall Saloon;31.581555280677573, 74.35161465026107
Iqbal Hall Juice Bar;31.581457027261532, 74.35166561223673
Liaquat Hall;31.581195398476492, 74.35240053749209
Iqbal Hall Laundary Service;31.58147736754145, 74.35132858159967
Iqbal Hall Badminton Court;31.581258010752244, 74.35134601595436
Quaid-e-Azam Hall UET Lahore;31.581031798521764, 74.35118307175686
Quaid-e-Azam Hall/Q Hall Canteen;31.580950396260256, 74.35068149867588
Q Hall Milk & Juice Shop;31.580912694135943, 74.35067948701918
Hostel Management Cell (HMC), UET;31.580720952193946, 74.3514569567453
Mumtaz Hall;31.580558718302818, 74.35195450650758
Zubair Hall Canteen;31.58004802244065, 74.35156960952192
Faculty Hostel;31.5801422785943, 74.35311322080042
Zubair Hall;31.579685278157875, 74.35227637160455
Shopping Center;31.579785818429574, 74.35315613614777
Imamia Masjid Zubair Hall;31.579597305300886, 74.35190890896946
Cutting Shop;31.579460204603627, 74.35188745129777
Sultan Mehmood Ghaznavi Hall;31.57932310369841, 74.35289864407581
Muhammad Bin Qasim Hall;31.579245413099486, 74.35213689673085
Abdul Sattar Edhi Hostel Play Ground;31.579016910962665, 74.3517747985211
High Five adventure Club;31.57879983341314, 74.3531963692708
Student Service Center - SSC;31.57883639387783, 74.3530515299869
Tariq Hall;31.578621600942462, 74.35255800353806
Khalid Hall;31.578543909758846, 74.35189281571569
Old UET Mosque;31.578598750596985, 74.3514556156522
Ali Mardan Hall;31.57817601826349, 74.35143684019079
BasketBall Court;31.578045770619823, 74.35187135804249
Annexe Ground;31.578057195859014, 74.35233001577484
Producer director office Building;31.578064051000727, 74.3541646467245
Works Department UET;31.57783326091467, 74.35416196451553
Star Photocopy Shop;31.577650456468895, 74.35421292647948
Graveyard;31.577504212663488, 74.35376499758299
Automotive Engineering Center;31.577447086114688, 74.35304080116347
Darbar-e-Mujaddadi;31.5773099822509, 74.35419951543531
Customize Wrestling Belts;31.576987787381363, 74.35433899030504
National Museum of Science & Technology;31.576505635538787, 74.35345922576002
Center of Excellence in Water Resources;31.57657647316951, 74.35209666360777
Department of Chemistry UET Lahore;31.577335117972794, 74.35233538019858
Secret Wall UET Lahore;31.57721629449639, 74.35204033721286
Annexe Panga Shake Shop Ice Cream;31.577239145176694, 74.35151462425647
Software Engineering Centre;31.578532989784815, 74.35845342205458
Auditorium Complex;31.578213365866436, 74.35916234885688
Department of Mechanical Engineering;31.57793988705786, 74.35845662491299
Department of Mechatronics and Control Engineering;31.57751943680011, 74.35856927769514
Ground;31.577784503485454, 74.35943294898925
Ayesha Hall Girls Hostel.;31.578860372788938, 74.36020156021868
Main Block - Physics Department;31.578126544583647, 74.35993844932673
